,price_per_sqft,city,county,state,streetAddress,bedrooms,bathrooms,price,livingAreaValue,lotSize_sqft,yearBuilt,zipcode,rentZestimate,zestimate,propertyTaxRate,neighborhoodRegion_name,agentName,agent_businessName,architecture_style,year_built,agency_compensation%
344,883.0,Fremont,Alameda County,CA,35364 Fremont Blvd,2.0,1.0,1000000,1133.0,9147.0,1934,94536,2949,1005000,0.81,Brookvale,Janice Byal,Readi-Home,Vintage,1934,2.5
345,783.0,Santa Clara,Santa Clara County,CA,3559 Warburton Ave,5.0,4.0,2000000,2554.0,2069.0,2018,95051,5999,2102102,0.77,,Jenny Wan-Mernyk,eXp Realty of California Inc,,2018,
346,979.0,San Francisco,San Francisco County,CA,356 Funston Ave,2.0,2.0,1395000,1425.0,2988.0,1920,94118,4200,1465200,0.67,Inner Richmond,Nina Hatvany,Compass,Apartment,1920,2.5
347,846.0,San Jose,Santa Clara County,CA,3582 Eastridge Dr,3.0,2.0,1150000,1360.0,9247.0,1972,95148,3546,1142180,0.77,East San Jose,Ashish Agrawal,ARAA REALTY,,1972,
348,881.0,San Jose,Santa Clara County,CA,3595 Deedham Dr,3.0,2.0,1349000,1532.0,8642.0,1984,95148,3800,1367300,0.77,Evergreen,Sherry Hagen,Coldwell Banker Realty,Tract,1984,
349,1309.0,San Francisco,San Francisco County,CA,360 Arlington St,3.0,4.0,3495000,2670.0,0.0,0,94131,11905,3650000,0.67,Glen Park,Jonathan B. Deason,Vanguard Properties,"Contemporary,Modern/High Tech,Victorian",0,2.5
350,1002.0,Fremont,Alameda County,CA,36001 Cabrillo Dr,3.0,2.0,1150000,1148.0,5662.0,1957,94536,3399,1180383,0.81,Cabrillo,Hector Vega,Russell E. Gross RE,Traditional,1957,2.5
351,888.0,Fremont,Alameda County,CA,36544 Montecito Dr,4.0,3.0,2295000,2584.0,9147.0,1967,94536,6084,2220031,0.81,Niles,Kathy Bartle,Legacy Real Estate & Assoc.,Ranch,1967,2.5
352,900.0,San Francisco,San Francisco County,CA,3666 Baker St,4.0,5.0,3500000,3889.0,4500.0,1922,94123,14192,4192000,0.67,Marina District,Marina Tsang,Coldwell Banker Realty,,1922,2.50
354,774.0,San Francisco,San Francisco County,CA,37 Grafton Ave,2.0,2.0,1200000,1550.0,2495.0,1925,94112,3800,1355200,0.67,Ingleside,Trecia Knapp,Sotheby's International Realty,,1925,2.5
355,731.0,San Jose,Santa Clara County,CA,3727 Chambord Ct,3.0,3.0,999000,1366.0,2613.0,1996,95127,3527,992417,0.77,Alum Rock-East Foothills,Donald Huey,Coldwell Banker Realty,Contemporary,1996,2.5
356,883.0,Fremont,Alameda County,CA,37405 Gillett Rd,4.0,3.0,1940000,2196.0,4852.0,2000,94536,4250,1863400,0.81,Centerville,RusSell Dinh,Real Estate Source Inc,Contemporary,2000,2.5
357,1084.0,San Jose,Santa Clara County,CA,3753 Caravella Dr,4.0,3.0,2099888,1937.0,5998.0,1973,95117,4698,2196700,0.77,West San Jose,Colin Clancy,KW Bay Area Estates,,1973,
358,757.0,San Jose,Santa Clara County,CA,3764 Rhoda Dr,5.0,3.0,1799000,2376.0,6080.0,1973,95117,5499,1870139,0.77,West San Jose,David Giambruno,KW Bay Area Estates,,1973,
359,750.0,San Jose,Santa Clara County,CA,38 N Almaden Blvd UNIT 1011,2.0,2.0,999888,1333.0,8884.478927203065,2008,95110,3699,1003739,0.77,Downtown,Coco Tan,Keller Williams Realty-Silicon Valley,,2008,
360,813.0,San Jose,Santa Clara County,CA,38 N Almaden Blvd UNIT 916,1.0,1.0,775000,953.0,8884.478927203065,2008,95110,2900,777722,0.77,Downtown,David Lillo,DPL Real Estate,,2008,
361,1190.0,San Francisco,San Francisco County,CA,38 Sharon St #A,1.0,1.0,775000,651.0,4375.0,1900,94114,,,0.67,Mission Dolores,Joshua Altman,Redfin,,1900,2.5
362,780.0,San Francisco,San Francisco County,CA,380 10th St UNIT 23,1.0,2.0,1150000,1475.0,15831.0,2004,94103,4600,1150000,0.67,South of Market,Vikki Hoven,Pacific Edge,"Contemporary,Modern/High Tech",2004,2.5
363,776.0,Fremont,Alameda County,CA,38061 Canyon Heights Dr,3.0,2.0,1237777,1596.0,6500.0,1954,94536,3714,1259800,0.81,Canyon Heights,Frank Cavaco,MAXIN Real Estate Inc.,"Cottage,Traditional",1954,2.5
364,537.0,San Jose,Santa Clara County,CA,381 Destino Cir,4.0,3.0,1048888,1954.0,1263.0,2006,95133,4375,1059670,0.77,North Valley,Jung-yuan Lin,Realty One Group Infinity,Contemporary,2006,
365,745.0,San Jose,Santa Clara County,CA,382 Fontanelle Dr,4.0,2.0,1149000,1542.0,6912.0,1980,95111,3800,1171000,0.77,Evergreen,Erika Carrasco,Intero Real Estate Services,,1980,
366,1052.0,Fremont,Alameda County,CA,38419 Timpanogas Cir,3.0,2.0,1598888,1520.0,6046.0,1955,94536,3768,1624230,0.81,Canyon Heights,Paymon Ghafouri,Paymon Real Estate Group,,1955,
367,778.0,Santa Clara,Santa Clara County,CA,3901 Lick Mill Blvd APT 407,1.0,1.0,699800,900.0,8884.478927203065,2005,95054,2894,704911,0.77,,Mei Ling,8 Blocks Real Estate,,2005,
368,581.0,San Jose,Santa Clara County,CA,391 Lassenpark Cir,5.0,3.0,1299000,2236.0,5636.0,1971,95136,4500,1325331,0.77,Blossom Valley,Rusty Paap,Intero Real Estate Services,,1971,
369,740.0,San Francisco,San Francisco County,CA,4 Jennifer Pl,1.0,1.0,950000,1284.0,17082.0,2000,94107,3990,953667,0.67,South of Market,Gary G. DeMars,Corcoran Global Living,,2000,2.5
370,801.0,San Francisco,San Francisco County,CA,40 Westwood Dr,5.0,4.0,2498000,3120.0,4273.0,1917,94112,8500,2589800,0.67,Westwood Park,Scott A. Rose,Corcoran Global Living,"Traditional,Vintage",1917,2.5
371,1445.0,San Francisco,San Francisco County,CA,401 Harrison St APT 25B,2.0,2.0,1895000,1311.0,56022.0,2014,94105,6799,1852255,0.67,Rincon Hill,Derek M. Jackson,Vanguard Properties,,2014,2.5
